formula,disorder
B10000Mg10000Cu5000Ir25000,0
Al10000Zn5000Te20000,0
C10000Sc20000I30000,0
Ag10000Sm50,1
O10000Al4167Y683Er1808,1
Al10000Co10000Th10000,0
Mn10000Te100000Bi60000,0
C10000O30000Pb10000,0
K10000Fe6667Se13333,0
I10000Cs3333Tm2222,0
Cd10000Te40000Gd20000,1
O10000Al667Ca3333Ti1667Ga167Nb833,1
H10000O10000Mg5000,2
O10000Nb2609W1159,1
Fe10000Sn70000La40000,1
Zn10000Cd1765Te11765,1
H10000C4000Ga667,1
O10000La1111Ta3333,2
O10000Na2500V5000,0
Si10000Ge70000La100000,1
B10000O20000K4667Cd667Gd1333,0
O10000Mg714P2857In1386Eu43,1
Fe10000Sn200000Lu100000,1
O10000Fe9000Ni1000As10000Sm10000,1
Li10000O40000Sc10000Ge10000,0
As10000Hf10000,0
C10000N40000Si20000,0
S10000Fe6667Rb1667Cs1667,1
S10000Cr3750Rh3750,1
S10000Cu1429Sn1429La4286,0
S10000Fe1429Ga1429Nd4286,0
O10000Na2300S2500Mn1483,1
Al10000Pd3134Ce3292,1
O10000Mn3333Sr1027La2240,1
O10000Si1250Cr1250Ag7500,0
Ag10000Sn2000Sb1333,1
H10000O35000Si5000Pb5000U5000,0
C10000Zn30000Hf30000,0
Li10000O60000Pr20000Ir10000,0
O10000Ca233Ti3250Sn83Ba3100,1
Li10000O20214Al530Co1510Ni8175,1
S10000Fe1333Zn667In2667Ba3333,0
Si10000Mo17554Pt12328,1
Cu10000Ge10000Se70000Ce30000,0
O10000V3138Sr4184,1
Cl10000Y5556Ru1111,0
H10000O50000Mg7500Fe5000Se15000,1
C10000Sc5000Ni4150,1
C10000Dy667Th6000,1
Sm10000Au30000,0
Mg10000Ga42463Yb11231,1
S10000Y5000U5000,1
B10000O18571Fe2271Zn2014Br1429,1
O10000Ca2481Cu1679Nd1336Bi3626,1
O10000Na1250Cr3750,0
Si10000Ru3333Dy2500,0
Li10000K10000Te10000,0
O10000Ca341Fe341Cu3920Y1080Ba2841,1
O10000Fe5000Sr1000Ba4000,1
Li10000O72167Na22458Mn27917,1
Li10000Ga20000Ru10000,0
C10000O430256Si205128,1
Se10000Gd6803,1
H10000N615O15026S2086Fe3128,1
La10000Hg63660,1
O10000P3500Ca500Y500,1
Li10000P1667Se8333I1667,1
Y10000Sn36000Ir12000,1
O10000F704Ca2874V2484Pb1267,1
Li10000O7500Sn1250,0
Cr10000Mn23333As33333,1
As10000Se10000Y10000,0
H10000O35000Al2500P10000K2500,0
Be10000B25000O55000Gd5000,0
Al10000Fe216667Pr26667,1
O10000Sm1111W2222Bi1111,0
O10000F120000Cs20000Ce30000,0
O10000Mg2248Al4375Mn878,1
S10000Mn8000Co2000,1
Fe10000Co10000Y2353,1
O10000Ta3185Pb2373,1
O10000Ag5000In5000,0
O10000Te1176I2353Bi5882,1
H10000C3333N3333O5000Ni833,0
As10000Pt50000Tl10000,0
O10000Fe1617Ga2550Eu2500,1
Zr10000Nb30000Hf10000,1
O10000Fe2143Co714Sr1429Zr714La2143,1
Ge10000La5714,1
Co10000In575Sb29700,1
O10000Mn833Fe833Ge3333Y833,1
Se10000Rb2500In2500Sn2500,1
O10000Cu2500Sr875La4125,1
Al10000Fe30000Y20000,1
F10000Se1026Sb2308,0
O10000Ti500Zn5000Zr500Sn1500,1
N10000F10000Zr10000,1
N10000Fe116667Mo16667Nd11111,1
O10000Zr2872In588Ba3391,1
Cu10000Sn60606La30303,1
Si10000Cs1696,1
O10000Cr2500Ag5000,0
Sb10000Ho2186U2100,1
Mg10000Co60000Ge60000,0
H10000N4000O8000S2000Cd1000,0
O10000Na1640K1520Ca40Zr140Nb3000Ag40Sb200Bi40,1
Sn10000I40000,0
Ir10000U3333,0
Se10000In4000Ba4000,0
Cl10000As3077Hg6154Bi2308,0
O10000Al4444Bi2222,0
H10000O11111P2222Dy1111,0
Li10000F120000V30000Cs20000,1
O10000Fe1667Ba3333U1667,0
O10000Zn778Sr1111Nb2222Ba2222Eu333,1
H10000B4000O11667Mg667,0
O10000F2500Mo2500Dy2500,0
H10000O9000F1000Al1000S1000,0
O10000Ba2275Sm225W2500,1
O10000F10000Ni3333La6667,1
Ga10000Sn16744Ba4651,1
O10000Pa2500Cm2500,1
B10000Sr417Ba1250,1
Na10000Sn7500Ba1250,1
C10000N10000Cl5000Ni5000Rb5000,0
O10000Al1083Si3917Rb1121,1
O10000Si2500Mn1500Fe3500,1
Al10000Ge48673Rb10204,1
O10000K2000Nb3627,1
Mn10000As2500Sb2500,1
O10000Al1637Ni1637La3274,1
O10000Ag15000Bi3333,0
Na10000Al3333Te10000,0
Se10000Mo49180I104754Cs24590,1
H10000O7857S714Co586Cu129,1
O10000Sc3333Y2667La667,1
Sc10000Co3333,0
Al10000Cl40000Cu10000,0
F10000In1667Cs3333Tl1667,0
Ca10000I140000W60000,0
Li10000O19090Ni5883Os3207,1
Li10000O21467Fe358Zr3578La5295,1
Li10000O36014Mg996Nb12005,1
Cu10000Sn12500U6250,1
O10000Ca5000Mn2375Nb125,1
Cr10000Ga4085Nb7042,1
C10000Si30000Cl80000,0
Si10000P53121Mn70922Fe70922Ge7801,1
B10000O60606Si20202K8485Rb1616,1
O10000In3333Cs10000,0
H10000C3000Zr10000,1
Ga10000Ge21768Sr3128Eu2396,1
P10000Rh10000La10000,0
Cl10000Br2483Sb2774Cs4161,1
V10000Ni2903,1
Ga10000Er1701Pt3741,1
Ag10000Sb2308Au3077,1
Ta10000Ir10000,0
O10000Sc1667Sr3333Os1667,0
H10000O147104F2057Mg31622Al4226Si45494K1249Ca12356,1
C10000N10000O200000Cr3000Cu40000Sr80000Tl17000,1
O10000Co5600Cu1900,1
Si10000Ni22857Hf8571,0
O10000Al3333Ca3889Zr556,1
Rh10000Pd5000Sn15152Ce15152,1
P10000S50000Ti10000Cu10000,0
In10000Ho2500Pt10000,1
O10000Na1250Mo2500La1250,1
Si10000Mn10000Pu5000,0
O10000Rb2581U2903,0
O10000Fe4000Sr660Ba660Pb2660,1
Y10000Os20000,0
Sn10000La4286,0
H10000B5000Co70000Sm10000,1
O10000Co287In6377,1
O10000Mg70Fe5372Zn2058,1
Ge10000Pd20000,0
S10000In3846Nd3077,0
O10000Co260Cu4069Y1443Ba2886,1
N10000In10000Tb30000,0
O10000Br30000Ag3950W10000,1
B10000Si2338Y6250,1
Ge10000Ba1818,1
Li10000O22222Y10000Zr1111,1
Fe10000Te15152,1
H10000C1905N2857O5476Co476Np476,0
Pd10000Sn29412Au20294,1
P10000Ni15000U5000,1
N10000O132857Na28571Ca28571Ta42857,1
H10000C4545N909O5455Na455Fe455,1
O10000Ni2000Sr4400Ru2000La1600,1
O10000Nb3810,0
C10000Mo5000Tm5000,0
O10000Co3392Sr3890Ru498,1
Li10000O60000Sr30000Ir10000,0
O10000Ti1667Cu1667Yb3333,1
Li10000Si10000Y10000,0
