formula,target
Ag3 In1 O8 P2,5.97
Ca11.4 P16 Si9,2.54
Mo6 Se8 Sm0.87,7.33
Dy2 Te5,7.99
Au4 La3,11.3
Cd0.5 Pb0.5 S1,6.88
Al2 Dy0.5 Er0.5,6.09
Fe0.085 Mn0.915 O2.979 Sr1,5.45
Cu5 O30 Ta11,8.46
In0.1 Mn1 Ni2 Sn0.9,8.67
Ag3.57 Al7.43 Eu1,5.54
H4.5 Co3 Y1,6.25
F1 K2 Nb5 O14 Sr1,4.65
C5 Ba1.08 Ca0.69 Ce0.82 Na2.75 O15 Sr0.63,3.71
Be4 O7 Te1,4.21
Fe0.346 Mn1.572 O5 P1,4.01
Mn1 Nd1 Ni3 Si1,7.52
Gd0.72 La0.28 Li0.89 Sb0.27 Sn1.84,7.85
Dy1 In4 Pt4,13.2
Mo0.4 Se2 Ta0.2 W0.4,8.23
Nb4.42 O16.55 Pb4.92 Zn0.575,3.25
Cu0.35 O4 W1 Zn0.65,7.84
B3 F1 O10 Pr4,5.91
Pr2 Zn17,7.35
Fe15.02 Si1.98 Sm2,7.62
Bi1.912 Ir2 O6.815,10.8
Ag0.97 Pb0.03,10.63
Fe1 O2.96 Sr1,5.54
Bi1 F0.3 Nd1 O0.7 S2,6.71
Ga0.18 Mn0.82 O2.868 Sr1,5.67
H11.26 Al13.44 Cs10.37 Na2.16 O101.63 Si34.56,2.84
Fe0.372 S1 Zn0.628,3.9
Cd0.95 Cl5.99 Rb3.99,3.14
Dy1 Ge1 Pd2,10.33
Au3 Sn4 U3,12.47
Pb3 Pr1,11.03
Cs2 Mo2.866 O17 P3 W0.134,4.05
Ru3 Si2 Y1,7.82
S1 V0.98,4.79
Ba1 Nd2 O5 Pt1,8.62
Hf1.2 P0.68 Ti0.8,7.46
Ge6 Pd1.075 Yb2,8.35
Mn1 O2,4.87
Cr0.5 Fe0.5 La0.8 Nd0.2 O3,6.76
Ba8 Cd8 Ge38,6.01
Ga9.35 Ho26 Ru7.65,9.29
Li6 P5 S20 Yb3,3.15
Eu1.2 La1.8 Li7 O12 Zr2,5.26
C4 H16 Br0.3 I0.7 K1 N8 S4,1.79
Cd1 Mg1 Yb0.75,5.11
Ce1 Ru2 Si2,7.68
C6 H16 Ga1 N6 O8 Re6 Se8,4.99
H18 Cl2 N6 Ni1,1.51
Fe0.67 Hf4.929 Sb2.33,12.29
Al4 K0.74 Na3 O16 Si4,2.63
H8 Ba1 N1 O11 P3,2.72
Ba1 In2 O7 Zn3,6.26
H76 Co6 O106 W19 Zn5,4.34
H0.25 Al1.83 F1.62 Fe0.87 K0.96 Li0.86 Mg0.05 Mn0.058 Na0.015 O10.38 Si3.18,3.01
S3 Sc1 Sm1,4.48
Cr2 Ga1.11 S8 V2,3.85
