formula,target
Cu3333 Pb1667 Se3333 Cl3333 O10000,0.0
Na20000 Al10000 Si30000 H10000 O90000,0.0
Ca10000 Ge42000 Pt13667,1.0
K4286 U1429 F10000,0.0
Zr10000 Ti10000 C10000 N10000,1.0
Ce4000 Br10000,0.0
Sr1000 Ce1500 Nb2500 O10000,1.0
Ba3333 Ti2967 Sn367 O10000,1.0
Sr1250 Np1250 P2500 O10000,0.0
Dy18000 B10000 S42001,1.0
La5000 Sm5000 Si10000 Pb5000 S40000,1.0
K10000 Li10000 Mn10000 O20000,0.0
Sr2857 Ca1271 Tl1114 Cu2857 Bi471 O10000,1.0
In4625 Ni2875 S10000,1.0
Pr1538 Mo2564 O10000,0.0
K775 Ba890 Tb21 Eu33 In1612 P2500 O10000,1.0
Tb11494 Ti10000 Ge11494 Mo1494,1.0
Mg2017 Si3333 Cu1317 O10000,1.0
Y2000 Co2000 B10000 O20000,0.0
Al4641 Si1520 O10000,1.0
Ba30000 Li10000 La10000 Nb30000 O120000,1.0
Ba625 Mg8750 Ti625 O10000,0.0
Zn1429 H10000 C5714 N4286 O10000,0.0
Tb2500 As2500 O10000,0.0
Pr10000 Ge10000 Ru10000,0.0
Pt909 Xe909 F10000,0.0
Nb10000 Tc56667,1.0
Lu25000 Bi5000 Pd10000,0.0
Na1283 Th383 B10000,1.0
Li10000 Ti3333 Ni10000 O26667,0.0
Li10000 Sn5000 P10000 O35000,0.0
Pr2500 Cd2500 Ni10000,0.0
Sr625 Mg8750 Ni625 O10000,0.0
Mg7500 Ti1250 Zn1250 O10000,0.0
Ce5000 Zn10000 Ga10000,1.0
Ce4286 Mn1429 Ga1429 S10000,0.0
Li10000 Mn1667 O3333 F6667,0.0
Ce10000 Si10000 Os10000,0.0
Ca89286 Si44643 H10000 Cl17857 O170714 F7857,1.0
In54 Mo7895 S10000,1.0
Tm6803 Ge10000,1.0
Cu1250 Bi1250 W2500 O10000,0.0
Na2500 Zn1250 S2500 O10000,0.0
La833 Cu2500 Pt3083 O10000,1.0
La3200 Co3333 O10000,1.0
Tl10000 Ag10000 I20000,0.0
Sr10000 Sn14800 Hg25200,1.0
Ce3243 Al1892 Si6757 N10000 O6216,1.0
Dy1300 In9200 Ni10000,1.0
Eu2500 Er5000 Se10000,0.0
Dy286 Bi2571 Ru2857 O10000,1.0
Lu5000 Cr10000 Fe50000,1.0
Cs357 Nb1786 W1786 O10000,1.0
Li10000 Mn7500 V7500 Te5000 O40000,0.0
Dy5000 Co5000 C10000,0.0
Ce41667 Si10000 Ge15000,1.0
Ba714 Cr1429 P2857 O10000,0.0
Li10000 V3333 P10000 N3333 O30000,0.0
Sb10000 S10000 N10000 F50000,0.0
Ge30000 B10000,0.0
Fe10000 Sn3448 Sb3448,1.0
Na10000 Gd10000 Se20000,0.0
Sr200 Zr1552 Ti1615 Mn56 Sb111 Pb3133 O10000,1.0
Na10000 Li10000 Al6667 F40000,0.0
Sr3750 La1250 Mn2500 O10000,1.0
Si10000 Sn10000 Pt50000,0.0
La3125 Dy1875 Cu2500 O10000,1.0
Li10000 Cu37619 P15873 O63492,1.0
Gd1309 Mn5707 Al10000,1.0
K2353 Nb3529 O10000,0.0
