formula,target
Al3.4 Fe13.6 Sm2,0.408588796
Al0.15 B2 Cr0.85,0.140903029
Al11.4 Ce2 Fe5.6,0.125378048
Bi1.34 S3 Sm0.66,0.253671454
Se0.715 Te0.285,0.597613845
Co2 K0.2 Se2 Tl0.8,0.100080485
Fe0.7 Li1 O4 P1 Zn0.3,0.087266329
Ge1 Ho3 Mn0.5 S7,0.060273668
Ba1.6 Cu3 O6.35 Sr0.4 Yb1,0.133461659
Al0.41 Mn1.59 Ti1,0.330867667
Au4.909 Si1.424 Tb1,0.23849246
Ba0.97 La0.02 Nb0.04 O3 Ti0.95,0.057283043
O3 Sr1 W0.5 Zn0.5,0.138629436
Co1 Mn1 Ni1 O4,0.603570346
Al0.204 La0.275 O3 Pb0.629 Ti0.806,0.279765931
Br1.7 I0.3 Sr1,0.257765287
Al0.83 In1.08 Te2,0.193970342
Ba1 Co4.71 Ge9,0.040626366
Lu2 O6.6 V2,0.063491667
Ba0.88 Ca0.12 O2.79 Ti0.93,0.291087195
Cs2 F5 O1 Tl1 Zr1,0.270658373
Al1 Nb1 Ni1,0.46209812
La0.14 O4 Pb0.83 W1,0.091215263
P2 Pr1.334 Se6,0.068242476
Fe1.6 O4 Ti0.1 Zn1.2 Zr0.1,0.245403471
Ag0.22 S1.33 Sn0.36 Sr0.5,0.173401288
Cu0.285 In0.285 S1 Zn0.43,0.539204403
As1 Co1 S1,0.46209812
Bi1 Cs0.3 Na0.7 Nb0.93 O12 Sb0.15 Ta2.83 Ti0.02,0.276190586
Ba0.5 S8 V5,0.051344236
Ce0.9 O2 Zr0.1,0.108360991
Ba0.2 Fe1 O3 Pr0.8,0.100080485
Ag5.347 O27 Si9 Zr3,0.075935789
Co0.0417 Mn0.6667 Na0.6667 Ni0.2916 O2,0.507627875
Li0.198 Mn1.414 O4 Ti0.6,0.51799934
C0.85 Mo1 N0.15,0.211354544
Mn0.75 O4 Rb0.75 Ti1.25,0.279327648
Bi1 Ga0.7 Mn0.3 O3,0.12217286
Li0.964 Ni1 O2,0.166516082
As3.5 Ge2 In0.5 Rb1,0.25968821
F1 Fe1 Li1.21 Na0.79 O4 P1,0.129987205
Ba2 Fe1 O6 Sb1,0.182336281
Ge2 Ni0.75 Sm1,0.149956039
Bi7.5 O12 Y0.5,0.235608429
H20.84 Al8 K4 Na4 O42.42 Si8,0.018987932
Lu0.75 Mg0.25,0.562335145
Bi1.8 O7 Sn2 Y0.2,0.059105995
Cr0.5 Dy0.2 La0.3 Mn0.5 O3 Sr0.5,0.388527027
Al1.293 Ba5 Cu0.085 O11 Ru1.622,0.061430876
Ag3.65 Bi3.35 Br4.3 Se4.7,0.372194137
B3 N4 O13 Pr7,0.012492597
As4 Cl6 Hg6.13 Sn1,0.022556142
B1 Fe2.785 Mg0.2 O5 Sn0.015,0.044875213
La1.024 Mg0.339 Sn2.637,0.269809866
Hf1 Ni1.8 Si3.2,0.224337222
H2 Al0.1 Ba1 F6 Fe1.63 K1 Mg6.27 O24 Si8,0.042167456
Ca0.9 Mg1 O6 Si2 Sr0.1,0.032508297
Cr1 La2 Ni1 O7.36 Sr2,0.442931332
Cu0.738 In0.74 Se2 Si0.26,0.307168377
Cs2 Ge1 O6 U1,0.04446127
Ca1 S2 U1,0.477212152
Li0.19 N0.2 O2.8 Sr1 Ta0.81,0.226138805
Ba2 Ca0.09 Cu2 Hg1.4 O7.76 Tl0.6 Y0.91,0.318292309
Ga3 Ni1 Tb1,0.277258872
Ba1 O2.82 Sc0.5 Ti0.5,0.285072562
Mn2 S4 Sn1,0.396084103
As12 Pb2.005 S34 Sb7.995 Tl4,0.038891036
La9.667 Mg0.5 O26 Si5.5,0.06864808
Ca0.82 Cu2 O6.93 Sr2 Tl1.15,0.170560486
B1 Nb0.9 Re0.1,0.162541487
Cs4 Re6 S9.49 Se3.51,0.11267543
Ba4 Ca1 Cu2.93 O7.19,0.196851325
Ca8.662 F2 Na0.514 Nd0.818 O24 P5.68 Si0.32,0.142018277
Ag1.27 Bi2.73 Br2.54 S3.46,0.232116646
Co0.4 Ge2 Ho1,0.197944608
Fe0.05 Mn0.95 S1,0.099257622
Ba2 Cu3 O6.5 Tm1,0.055451774
Cd0.73 Fe2 Mn0.21 Na1.82 O12 P3,0.088753118
La0.5 Li0.1 Na0.4 Nb2 O6,0.104816488
Fe3.4 Ga0.6 N1,0.134602333
K0.857 O5 P1 Rb0.143 Ti1,0.037408199
Ba0.27 La0.73 O2.865 Sc1,0.201241727
Ba2 Cu3 La1 O7.14,0.030819139
S0.66 Zr0.99,0.384350688
H2 Al0.65 Li0.33 Mn1 O4,0.089655033
C6 H4 Mo2 O11 P2 Rb2,0.522550237
Ce0.2 O2 Pr0.8,0.166800808
Ca1 Cr1 Nb1 O6 Sr1,0.27709883
Cu2.2 Se4 Sn1 Zn0.8,0.062550303
As4 Ce1.3 Mn0.8 Zn3.2,0.211551295
H32 Er1 N4 Na5 O30,0.173257668
H3.01 Al1.02 Be2.94 Ca4 O28 Si9.04,0.057671794
O4 Sn0.1875 Ti0.5625 Zn2 Zr0.25,0.338389276
Al3.3 La6 Se14,0.055574819
La3 Sb0.33 Se7 Si1,0.055973401
Cu12.32 In18.04 Se32,0.181031054
C3.28 B11.72,0.244055935
Al2 Dy0.1 Tm0.9,0.108360991
Au0.84 Si0.16,0.270743419
Mo0.986 O4 Sr0.944 Tb0.038,0.054397541
Sb10 V5.49 Zr7.51,0.138590169
C14 H24 Cs1 Fe1 N8,0.318141435
O12 U2 Y5,0.142451775
Al0.24 La3 Li6.28 O12 Zr2,0.384009405
Ga1 In1 O6 Zn3,0.12602676
Cr1.87 Ga0.8 S4,0.167195928
O3 Sr1 Ti0.85 Zr0.15,0.084541818
Ba3 Ga2 O14 Si2 Te1 Zn1,0.083070933
Ce1 Li1 O8 W2,0.11552453
Ba4 Ca1 Cu2.93 O7.202,0.196695218
Co1.036 La0.14 O6 Sr1.86 W0.964,0.066229448
Ba1 Se2.981 V1,0.022090708
Fe0.944 Mo1 O6 Sr2 V0.056,0.069761078
La1 Na1 O8 W2,0.11552453
Cr1 O2,0.512825815
O1.94 Sc0.12 Zr0.88,0.216465758
As1 La3 Sb4 Ti1,0.277545116
Cu0.384 S2 Ti1,0.196805085
As1 Cs0.068 O5 Rb0.95 Ti1,0.02912606
Bi2 K2 O15 P4 Pb1,0.182033079
Al0.482 Ni0.185 Ti0.333,0.377240114
Cu1 Tb1 Te2,0.34657359
Bi1.9 Ca1 Nb2 O12 Sr1.04 Ti1,0.259155364
C1 Ce0.2 U0.8,0.250201212
Ag3 Cd1,0.562335145
La1.1 Ni1 O8 Ru1 Sr2.9,0.267069248
Al4.24 Be0.945 Fe0.759 Mg1.94 O16 Si3.055,0.080954769
Ge2 Ho1 Pd0.22,0.163636013
Al1.325 Ca1 Li0.675,0.696690241
Au4.746 Ho1.083 Si1.245,0.1407811
Mg1 O6 Pb1 Pr1 Sb1,0.140072158
La1 Mn0.25 Ni0.75 O3,0.112467029
Al0.22 Ba2 Cu2.78 O6.71 Y1,0.143814475
Na11.08 P1 S12 Sn2,0.081130123
Mn1.09 Sb1,0.135706745
La0.8 Ni1 O5 Ru1 Sr2.2,0.312705062
F0.55 La0.667 Mn1 O2.383 Sr0.317,0.494419166
Ag0.2 Ce1 Cu1.8 In1,0.162541487
Cu0.1 Fe2 Mg0.05 Ni0.85 O4,0.140647345
Ce0.5 La0.05 O1.75 Sm0.45,0.585174178
I4 Rb2 Zn1,0.198042052
Co0.8 Fe0.2 La1 O3,0.100080485
B0.8 Rh3 Y1,0.104250505
Ba3 Bi6.67 Se13,0.028067176
