formula,target
Cs2 F5 I1 Mo1 O4,9
Mn0.5 Rh1 Tl0.5,2
Cd0.364 Cu5.092 Ge2.544 Se8,3
C4 H9 N3 Ni1 O6,14
As1 Co0.95 Fe0.05 Nd1 O1,4
Al1.99 Be1 Fe0.01 O4,6
Al0.019 Li1.06 Mn1.92 O4,3
Gd1 Ge1 Hf0.3 Ti0.7,3
Ca0.81 Fe1 Mn3.19 O15 Si5,20
Ba0.5 Mn1 Nd0.5 O3,4
Mo3 P0.6 Si0.4,4
Cu0.8 Fe2 Ni0.2 O4,3
Ge0.85 Li3.7 O4 W0.15,10
Ce1 Cu0.2 Si1.8,2
Fe1 Gd0.1 La0.9 O3,4
Ir19 P12 Yb5,10
As1 Rb3 Se4,6
Al8.36 Eu1 Mn3.64,4
Bi1.874 O6.928 Ru2,4
As2 In5 Rh3,3
C2.7 Nb0.2 Y1.8,2
Cu1 La1 Mg4,6
C2 Ir1 U2,3
Al0.65 Co1.35 Y1,3
C1 B1 Mo1.64 Ta0.36,4
Mo1 S1 Se1,2
Cl3 O12 Yb1,6
Ba3 Ge2.11 Si1.89,5
Bi9 Ti8,7
Mn1 O6.87 Ru1 Tb1.94,4
Ba5 Ga5 Pb1,6
Cd0.9 Cu0.1 Sr1,2
N0.45 Nb0.5 O2.55 Sr1 Ti0.5,3
Fe1 O4.24 Pb0.75 Sb1.25,5
Hg4 Se6 Si1,11
As1 Bi1 Mn1 O5,8
N7 Si4 Sr1 Yb1,7
Al9 Co3 Nd2,7
B1 Fe1 Nb1,4
Li2 Sb1 Zn1,4
Dy3 Os1,3
Si1 Te1 Zr1,3
Al1.7 Fe0.3 Pr1,2
Cr0.158 O6.89 Sn1.842 Y2,4
H8 B2 Ba1,6
Fe0.263 Mn0.07 Nb0.633 O2 Ta0.034,5
C6 H4 Eu1 N9 O2,20
Cr1 Nd1 O5 Ti1,7
K3 O14 Ta1 Ti5,12
N2 O2 S2 Se1,4
Ag10.06 Al6.94 Pr2,5
Al3.4 Fe13.6 Sm2,5
Hf0.95 O2 Si0.05,3
Ce0.33 O12 P3 Zr2,12
Ca3 N17 Si9 Sm3,8
Ag0.98 Y0.02,1
Ce4.8 Ga3.2,4
Cr0.2 Fe0.8 O4 V1,9
Eu1 In2 Ni1,3
H12 Cl2 Cu1 O14,20
Ga1 Nd3 Ni1 Se7,6
Ti1 W4 Zr1,2
Ba2 Fe4 O11 Sm2,9
Ba1 O2.97 Sc0.1 Ti0.9,6
Cs1 Dy1 S2,3
Be6 Mn0.2 O24 S2 Si6 Zn7.8,5
C24 O24 P4 W5,20
Ca0.4 La0.4 O3 Ti1,4
Cs2 O15 Si6 U1,17
S2 Tc1,6
O3 Sr1 Ti0.875 Zr0.125,4
Ag6.46 Al6.54 Eu1,3
Ag9 Ga1 Se6,7
Fe5 Ge3 La1 O15,15
Na4 O5 Te1,11
Er2.2 O6.9 Ti1.8,5
Dy1 Te2 Tl1,3
Ge2 La1 Li1,4
H8 Co1 O14 P2 V2,7
Fe3 Li1.7 O4,4
Ge0.45 Mn1.55,1
Cu6 Hg3 S12 Sb4,9
Ba0.5 Fe0.8 O2.4 Sr0.5 Zn0.2,3
C11 Ho7 Ru2,20
Br1 Cs2 I5 Sn1,3
Ca2.68 Ce0.84 Na12.32 O28 P4 Si4,20
Ca0.738 Cu1 O2 Y0.082,3
Al0.158 Fe0.786 Tb0.111,6
Bi7 O18 Ta3,20
Mg1 P1 Pd5,4
Ba1 Hg1 O5 Ru1,8
C3.5 Pu0.5 U1.5 W2,4
O3 Tl4,7
Ca1 Mg0.78 Ni0.22 O6 Si2,6
B1 K5 O34 P4 Ta8,20
Ba2 Sb1,3
H7 La4 Mo9.5 O46 Se4,20
As1 Li1.666 Si0.334,2
Ag0.12 Cl2 Cs6 Ge4 K1.88 O20 U3,20
Al0.22 B1 Fe0.57 Mg1.96 Mn0.25 O5,10
Al2 Cd1 S4,4
Fe1.698 O3 Sn0.228,3
Ca0.8 La0.2 O3 Ti1,4
H7.88 F1 K0.03 N1.97 O3 P1,15
Se8 Ti5 Tl1,8
