,formula,target
0,Fe1.6 Ga1 O4 Zn0.4,1
1,Ba2 O6 Pr1 Sb1,0
2,In1 K1 Se4 Sn1,1
3,Ag2 Mn1 O4,0
4,Ag2 Si2 Tb1,0
5,Mo3 Na2 O16 Te3,0
6,Sb1 Sc1,0
7,B1 Co0.84 Fe0.36 Mn0.8,1
8,Co2 I1 Tb2,0
9,Sn3 U1,0
10,Cl1 Cu5 K1 O10 P2,1
11,Ba2 Gd1 Mo1 O6,0
12,Ho1 O6 Rh1 Sr3,0
13,C0.35 N0.65 Nb1,1
14,Ba3.2 Fe4 O8 Sr0.8,1
15,H4 Al8.01 B3 Na0.84 O31 Si6,1
16,Ca1 Eu0.6 F6 Na1.12 Y0.4,1
17,Rh2 Si2 Yb1,0
18,Ba1 Bi0.05 O3 Tb0.95,1
19,Co1 Fe1.6 Ga0.4 O4,1
20,Ni1 Pb3 Tb5,0
21,Fe0.4 La0.6 Mn0.6 O3 Sr0.4,1
22,Ag0.25 Pd0.75,1
23,Ce3 Si2,0
24,K1 La1 Te2,0
25,Li1 O12 P4 Pr1,0
26,Ba2 Ca0.812 Cu2 O6.81 Rb0.346 Tl1.842,1
27,Ce1 Si5,0
28,Cr0.04 O1 Zn0.96,1
29,Cu3 In2 O16 P4,0
30,Cm1 P1,0
31,La0.65 Mn1 O3 Sr0.32,1
32,Al1.896 Cr0.104 O3,1
33,Cl9 O4 Pb8 Rb1,1
34,Al2.5 Mg1.25 N3 O3 Si1.25,1
35,Co1.7 Dy1 Ga0.3,1
36,As17.7 Ba0.84 Hf12,1
37,C4 H3 Na5 O12,0
38,B1 In1 Sc3,0
39,Br0.5 I10.5 Nb6,1
40,Ba0.48 Cr0.52 La0.52 O3 Ti0.48,1
41,O3 Pb1 Ti0.67 Y0.04 Zr0.29,1
42,C8 H65 Fe3 Mo12 N2 Na4 O78 P8,1
43,B1 Ge3 V5,0
44,As4 Se3,0
45,F3 Fe1 Rb1,0
46,B5 Na1 O9 Sr1,0
47,Ge1.4 Ho1 Ni0.6,1
48,Ba2 Cu3 O6.97 Tm0.962,1
49,Li1 O8 Sb3,0
50,Fe10.99 Na2.4 O16.03,1
51,C12 H32 N12 O17 Pt3 Th2,0
52,Cl4 Fe1 N1 O1,1
53,In1.06 Mn0.94 Y1,1
54,Eu2 P2 S6,0
55,H16 Fe2.75 O16 P2 Zn0.18,1
56,Ge1 Se1 Zr1,0
57,Mg0.2 O1 Zn0.8,1
58,Bi3.94 Cu0.11 O11.2 Ti0.15 V1.68,1
59,H5 O3 Rb1,1
60,Ni0.33 Pt0.33 Sn0.34,1
61,Cl1 Nb1 O8 Pb2 Se2,0
62,Ca0.9 Co1.1 O6 Si2,1
63,H3 Al7.95 B3 F0.34 Li1.05 Na0.58 O30.66 Si6,1
64,Al1 Sm1 Zn1,1
65,Ba0.11 Co0.1 La0.67 Mn0.9 O3 Sr0.22,1
66,Cu0.5 Ru0.5,1
67,Ce0.88 Cu2.04 Eu1.3 O10.02 Ru0.96 Sr1.82,1
68,Cs2 P2 Se6 Zn1,0
69,Ba6 Cl2 Eu1 F12,0
70,O1.9 Sc0.108 Yb0.09 Zr0.801,1
71,Al4 F9 K3 O8 P2,0
72,Ga4.8 K0.8 O12 Ti2.2,1
73,Ni1 O3.67 Sr1.67 Y0.33,1
74,Gd1 Ni2 Sn2,0
75,H3.39 Ca10.084 O27.15 P5.94,1
76,In1 K1 O8 W2,0
77,H4 Ba1 O4 P2,0
78,Al1 Br3,0
79,C0.93 Ti1,1
80,Al1.47 Co0.53 Tb1,1
81,Co0.7 Fe2.3 O4.093,1
82,Al7.82 Mn9.18 Tb2,1
83,Ni12 P7 Sc2,0
84,F1 O10 Rb2 Sc1 Si4,0
85,H16 B10 N2 Na2,0
86,H14 Ag3 N3 O19 P6,0
87,Ca4 Ga1 Nb1 O8,0
88,As1 Na1 O9 W2,0
89,C10 Br2 Mn2 O10 Sn1,0
90,Cs1 F5 Mn1 O1 Ti1,1
91,Cu2 La1 Nd1 O6 Sr1,1
92,H2.34 B3 Na2 O12.67 P2 Zn1,0
93,Ce1 O6 Ta1 Ti1,1
94,Dy1 Fe3,0
95,Hg0.75 Th0.25,1
96,C3 H10 Cl1 Mn1 N3 O6,1
97,Cr1 K2 O12 P3 Ti1,1
98,Al5 Fe1 Ni1,1
99,Cu1 Mn1 O10 Te4,0
100,Ba1 F6 Th1,1
101,Mg0.14 O1.86 Zr0.86,1
102,Ba1 Ca0.1 Co2 Gd0.9 O5.5,1
103,Bi2 Cl1 Ho1 O4,0
104,F1 Na3 S1,0
105,Ce1 Ni1 Si1,1
106,Ag2.03 Ce1 Zn8.97,1
107,Co2 Ga8 Pr1,0
108,Cu0.26 Pd1.43 Sn1,1
109,Ba1.78 Cu3 Nd1.22 O6.84,1
110,Ni2 P1 Si1,0
111,Ba0.4 O4 Pb0.6 W1,1
112,Ga2 Ir1,0
113,Ce3 Fe0.5 Se7 Si1,1
114,As1 Ti0.43 V0.57,1
115,Ca2.91 Mn0.09 O8 P2,1
116,H2 O4 Pb3,0
117,Ce1 Co0.8 Mn1.2,1
118,As3 In1 K6,1
119,Fe3 N1.08,1
120,P1 S1 Tm1,0
121,Gd1 P1 S1,0
122,Mn0.05 Se1 Zn0.95,1
123,B6 Nb1.07 Ni20.86 U1.07,1
124,Nb2 O10 Rb2 Si2,1
125,Mn0.96 Nd1 O2.886,1
126,O7 P2 Tl4,0
127,Bi1 Co1 Zr1,0
128,Cu0.5 Mn0.5 Mo3 O12 U1,1
129,Al1 F4 Tl1,0
130,Ca9.8 Cl2 La0.1 Na0.1 O24 P6,1
131,Li5 O4 Tl1,0
132,As2 La1 Pd2,0
133,Ba4 Co4 Eu2 O15 Sr2,1
134,Co2 Ge1 Ti1,0
